Year.month.day,rhum
1996.10.31,85.14720719
1996.11.30,83.50165174
1996.12.31,81.54114091
1997.01.31,82.10046641
1997.02.28,83.16043955
1997.03.31,88.85811157
1997.05.01,93.24833115
1997.06.01,90.78308621
1997.07.01,91.08710548
1997.08.01,91.86010451
1997.09.01,90.22821097
1997.10.01,79.71165457
1997.10.31,86.61662081
1997.11.30,80.23792641
1997.12.31,78.15029088
1998.01.31,78.86842833
1998.02.28,85.87153542
1998.03.31,89.17584852
1998.05.01,90.15078425
1998.06.01,94.60305848
1998.07.01,93.548155
1998.08.01,91.02598518
1998.09.01,89.70015932
1998.10.01,85.96046847
1998.10.31,87.04313724
1998.11.30,83.78408861
1998.12.31,78.5070557
1999.01.31,79.29382274
1999.02.28,81.11169115
1999.03.31,84.19073021
1999.05.01,91.04349724
1999.06.01,93.61494998
1999.07.01,92.16944453
1999.08.01,93.20027682
1999.09.01,86.38481484
1999.10.01,79.82555138
1999.10.31,83.92601495
1999.11.30,78.16450339
1999.12.31,78.87569092
2000.01.31,83.70712696
2000.02.29,82.44192048
2000.03.31,83.46828085
2000.05.01,88.23414331
2000.06.01,93.79297301
2000.07.01,92.24286658
2000.08.01,92.43256682
2000.09.01,86.31564455
2000.10.01,82.32390616
2000.10.31,86.41546793
2000.11.30,83.9964771
2000.12.31,81.1531786
2001.01.31,85.68882608
2001.02.28,82.14152233
2001.03.31,84.74980145
2001.05.01,86.17346656
2001.06.01,92.84549255
2001.07.01,92.77454609
2001.08.01,90.97218211
2001.09.01,91.24478103
2001.10.01,83.4630089
2001.10.31,85.24338932
2001.11.30,80.00556957
2001.12.31,79.09698157
2002.01.31,80.19214801
2002.02.28,87.78970672
2002.03.31,85.31870313
2002.05.01,91.5415183
2002.06.01,90.39405023
2002.07.01,92.35255251
2002.08.01,89.64067121
2002.09.01,89.88933948
2002.10.01,84.86805955
2002.10.31,86.28856981
2002.11.30,85.06455946
2002.12.31,82.74068198
2003.01.31,79.51800543
2003.02.28,84.37105769
2003.03.31,89.55611351
2003.05.01,91.4015337
2003.06.01,91.65030724
2003.07.01,91.12068031
2003.08.01,90.94829168
2003.09.01,87.52309191
2003.10.01,83.6759811
2003.10.31,82.80552027
