"","x"
"320",2005-08-01
"321",2005-09-01
"322",2005-10-01
"323",2005-11-01
"324",2005-12-01
"325",2006-01-01
"326",2006-02-01
"327",2006-03-01
"328",2006-04-01
"329",2006-05-01
"330",2006-06-01
"331",2006-07-01
"332",2006-08-01
"333",2006-09-01
"334",2006-10-01
"335",2006-11-01
"336",2006-12-01
"337",2007-01-01
"338",2007-02-01
"339",2007-03-01
"340",2007-04-01
"341",2007-05-01
"342",2007-06-01
"343",2007-07-01
"344",2007-08-01
"345",2007-09-01
"346",2007-10-01
"347",2007-11-01
"348",2007-12-01
"349",2008-01-01
"350",2008-02-01
"351",2008-03-01
"352",2008-04-01
"353",2008-05-01
"354",2008-06-01
"355",2008-07-01
"356",2008-08-01
"357",2008-09-01
"358",2008-10-01
"359",2008-11-01
"360",2008-12-01
"361",2009-01-01
"362",2009-02-01
"363",2009-03-01
"364",2009-04-01
"365",2009-05-01
"366",2009-06-01
"367",2009-07-01
"368",2009-08-01
"369",2009-09-01
"370",2009-10-01
"371",2009-11-01
"372",2009-12-01
"373",2010-01-01
"374",2010-02-01
"375",2010-03-01
"376",2010-04-01
"377",2010-05-01
"378",2010-06-01
"379",2010-07-01
"380",2010-08-01
"381",2010-09-01
"382",2010-10-01
"383",2010-11-01
"384",2010-12-01
"385",2011-01-01
"386",2011-02-01
"387",2011-03-01
"388",2011-04-01
"389",2011-05-01
"390",2011-06-01
"391",2011-07-01
"392",2011-08-01
"393",2011-09-01
"394",2011-10-01
"395",2011-11-01
"396",2011-12-01
"397",2012-01-01
"398",2012-02-01
"399",2012-03-01
"400",2012-04-01
"401",2012-05-01
"402",2012-06-01
"403",2012-07-01
"404",2012-08-01
"405",2012-09-01
"406",2012-10-01
"407",2012-11-01
"408",2012-12-01
"409",2013-01-01
"410",2013-02-01
"411",2013-03-01
"412",2013-04-01
"413",2013-05-01
"414",2013-06-01
"415",2013-07-01
"416",2013-08-01
"417",2013-09-01
"418",2013-10-01
"419",2013-11-01
"420",2013-12-01
"421",2014-01-01
"422",2014-02-01
"423",2014-03-01
"424",2014-04-01
"425",2014-05-01
"426",2014-06-01
"427",2014-07-01
"428",2014-08-01
"429",2014-09-01
"430",2014-10-01
"431",2014-11-01
"432",2014-12-01
"433",2015-01-01
"434",2015-02-01
"435",2015-03-01
"436",2015-04-01
"437",2015-05-01
"438",2015-06-01
"439",2015-07-01
"440",2015-08-01
"441",2015-09-01
"442",2015-10-01
"443",2015-11-01
"444",2015-12-01
"445",2016-01-01
"446",2016-02-01
"447",2016-03-01
"448",2016-04-01
"449",2016-05-01
"450",2016-06-01
"451",2016-07-01
"452",2016-08-01
"453",2016-09-01
"454",2016-10-01
"455",2016-11-01
"456",2016-12-01
"457",2017-01-01
"458",2017-02-01
"459",2017-03-01
"460",2017-04-01
"461",2017-05-01
"462",2017-06-01
"463",2017-07-01
"464",2017-08-01
"465",2017-09-01
"466",2017-10-01
"467",2017-11-01
"468",2017-12-01
"469",2018-01-01
"470",2018-02-01
"471",2018-03-01
"472",2018-04-01
"473",2018-05-01
"474",2018-06-01
"475",2018-07-01
"476",2018-08-01
"477",2018-09-01
"478",2018-10-01
"479",2018-11-01
"480",2018-12-01
"481",2019-01-01
"482",2019-02-01
"483",2019-03-01
"484",2019-04-01
"485",2019-05-01
"486",2019-06-01
"487",2019-07-01
"488",2019-08-01
"489",2019-09-01
"490",2019-10-01
"491",2019-11-01
"492",2019-12-01
"493",2020-01-01
"494",2020-02-01
"495",2020-03-01
"496",2020-04-01
"497",2020-05-01
"498",2020-06-01
"499",2020-07-01
"500",2020-08-01
"501",2020-09-01
"502",2020-10-01
"503",2020-11-01
"504",2020-12-01
"505",2021-01-01
"506",2021-02-01
"507",2021-03-01
"508",2021-04-01
"509",2021-05-01
"510",2021-06-01
"511",2021-07-01
"512",2021-08-01
"513",2021-09-01
"514",2021-10-01
